346,elegância,01100101011011000110010101100111110000111010001001101110011000110110100101100001
347,sutil,0111001101110101011101000110100101101100
348,de,0110010001100101
349,Bobô,0100001001101111011000101100001110110100
350,Quem,01010001011101010110010101101101
351,não,01101110110000111010001101101111
352,é,1100001110101001
353,recôncavo,01110010011001010110001111000011101101000110111001100011011000010111011001101111
354,e,01100101
355,nem,011011100110010101101101
356,pode,01110000011011110110010001100101
357,ser,011100110110010101110010
358,reconvexo,011100100110010101100011011011110110111001110110011001010111100001101111
